Fecha,Tasa política monetaria (anual),PIB real (trimestral),Tasa desempleo nacional (mensual),Tasa inflación (anual)
2000-12-31,12.0,,,8.75
2001-01-31,,,16.62,
2001-02-28,,,17.43,
2001-03-31,,,15.81,
2001-04-30,,,14.52,
2001-05-31,,,14.04,
2001-06-30,,,15.31,
2001-07-31,,,15.18,
2001-08-31,,,14.91,
2001-09-30,,,14.07,
2001-10-31,,,14.52,
2001-11-30,,,13.68,
2001-12-31,8.5,,13.61,7.65
2002-01-31,,,17.91,
2002-02-28,,,16.19,
2002-03-31,,,15.11,
2002-04-30,,,16.08,
2002-05-31,,,15.02,
2002-06-30,,,15.91,
2002-07-31,,,15.43,
2002-08-31,,,15.95,
2002-09-30,,,14.47,
2002-10-31,,,14.97,
2002-11-30,,,15.19,
2002-12-31,5.25,,15.42,6.99
2003-01-31,,,16.27,
2003-02-28,,,15.84,
2003-03-31,,,13.11,
2003-04-30,,,15.01,
2003-05-31,,,12.82,
2003-06-30,,,14.11,
2003-07-31,,,14.51,
2003-08-31,,,14.38,
2003-09-30,,,14.23,
2003-10-31,,,13.52,
2003-11-30,,,12.64,
2003-12-31,7.25,,12.56,6.49
2004-01-31,,,17.26,
2004-02-29,,,15.75,
2004-03-31,,,13.52,
2004-04-30,,,14.68,
2004-05-31,,,13.83,
2004-06-30,,,14.07,
2004-07-31,,,12.91,
2004-08-31,,,13.06,
2004-09-30,,,12.29,
2004-10-31,,,12.29,
2004-11-30,,,11.84,
2004-12-31,6.5,,11.95,5.5
2005-01-31,,,13.26,
2005-02-28,,,14.1,
2005-03-31,,126307.2,12.95,
2005-04-30,,,12.02,
2005-05-31,,,12.49,
2005-06-30,,128616.9,11.54,
2005-07-31,,,12.05,
2005-08-31,,,11.72,
2005-09-30,,128679.0,11.33,
2005-10-31,,,9.9,
2005-11-30,,,10.28,
2005-12-31,6.0,131249.9,10.27,4.85
2006-01-31,,,13.37,
2006-02-28,,,13.08,
2006-03-31,,134085.7,11.37,
2006-04-30,,,12.06,
2006-05-31,,,11.87,
2006-06-30,,135784.9,10.48,
2006-07-31,,,12.3,
2006-08-31,,,13.04,
2006-09-30,,138548.5,12.91,
2006-10-31,,,11.36,
2006-11-30,,,11.0,
2006-12-31,7.5,141015.9,11.84,4.48
2007-01-31,,,14.28,
2007-02-28,,,12.86,
2007-03-31,,143183.6,12.03,
2007-04-30,,,10.81,
2007-05-31,,,11.7,
2007-06-30,,144977.6,11.2,
2007-07-31,,,11.35,
2007-08-31,,,10.86,
2007-09-30,,148062.9,10.87,
2007-10-31,,,10.21,
2007-11-30,,,9.49,
2007-12-31,9.5,150232.9,9.92,5.69
2008-01-31,,,13.3,
2008-02-29,,,12.19,
2008-03-31,,150944.0,11.34,
2008-04-30,,,11.08,
2008-05-31,,,10.81,
2008-06-30,,151168.2,11.41,
2008-07-31,,,12.21,
2008-08-31,,,11.43,
2008-09-30,,152912.8,11.05,
2008-10-31,,,10.18,
2008-11-30,,,10.91,
2008-12-31,9.5,150688.0,10.77,7.67
2009-01-31,,,14.47,
2009-02-28,,,12.77,
2009-03-31,,150782.2,12.19,
2009-04-30,,,12.12,
2009-05-31,,,11.76,
2009-06-30,,152386.3,11.6,
2009-07-31,,,12.84,
2009-08-31,,,11.94,
2009-09-30,,153938.8,12.44,
2009-10-31,,,11.76,
2009-11-30,,,11.39,
2009-12-31,3.5,155508.7,11.31,2.0
2010-01-31,,,14.88,
2010-02-28,,,12.69,
2010-03-31,,156631.6,11.96,
2010-04-30,,,12.44,
2010-05-31,,,12.26,
2010-06-30,,159160.0,11.98,
2010-07-31,,,12.86,
2010-08-31,,,11.38,
2010-09-30,,160350.0,10.87,
2010-10-31,,,10.45,
2010-11-30,,,10.93,
2010-12-31,3.0,164009.4,11.23,3.17
2011-01-31,,,13.9,
2011-02-28,,,13.14,
2011-03-31,,167167.4,10.95,
2011-04-30,,,11.27,
2011-05-31,,,11.55,
2011-06-30,,169759.1,11.04,
2011-07-31,,,11.7,
2011-08-31,,,10.42,
2011-09-30,,173217.9,9.93,
2011-10-31,,,9.36,
2011-11-30,,,9.49,
2011-12-31,4.75,174483.6,10.07,3.73
2012-01-31,,,12.79,
2012-02-29,,,12.07,
2012-03-31,,177203.8,10.5,
2012-04-30,,,11.09,
2012-05-31,,,10.99,
2012-06-30,,177867.2,10.24,
2012-07-31,,,11.16,
2012-08-31,,,9.99,
2012-09-30,,177038.0,10.14,
2012-10-31,,,9.17,
2012-11-30,,,9.46,
2012-12-31,4.25,179306.0,9.94,2.44
2013-01-31,,,12.34,
2013-02-28,,,12.01,
2013-03-31,,181880.0,10.38,
2013-04-30,,,10.45,
2013-05-31,,,9.82,
2013-06-30,,187146.7,9.51,
2013-07-31,,,10.16,
2013-08-31,,,9.66,
2013-09-30,,188105.7,9.17,
2013-10-31,,,8.13,
2013-11-30,,,8.63,
2013-12-31,3.25,190806.61,8.65,1.94
2014-01-31,,,11.53,
2014-02-28,,,11.09,
2014-03-31,,193481.92,9.84,
2014-04-30,,,9.31,
2014-05-31,,,9.07,
2014-06-30,,194154.93,9.4,
2014-07-31,,,9.69,
2014-08-31,,,9.16,
2014-09-30,,196019.23,8.61,
2014-10-31,,,8.1,
2014-11-30,,,8.06,
2014-12-31,4.5,197932.92,9.04,3.66
2015-01-31,,,11.15,
2015-02-28,,,10.23,
2015-03-31,,199114.71,9.12,
2015-04-30,,,9.74,
2015-05-31,,,9.22,
2015-06-30,,200898.8,8.5,
2015-07-31,,,9.22,
2015-08-31,,,9.3,
2015-09-30,,202715.7,9.07,
2015-10-31,,,8.44,
2015-11-30,,,7.56,
2015-12-31,5.75,201962.79,8.82,6.77
2016-01-31,,,12.18,
2016-02-29,,,10.37,
2016-03-31,,204658.79,10.46,
2016-04-30,,,9.32,
2016-05-31,,,9.24,
2016-06-30,,204701.6,9.19,
2016-07-31,,,10.2,
2016-08-31,,,9.23,
2016-09-30,,205541.4,8.85,
2016-10-31,,,8.63,
2016-11-30,,,7.77,
2016-12-31,7.5,206587.21,9.1,5.75
2017-01-31,,,11.96,
2017-02-28,,,10.87,
2017-03-31,,206571.52,9.9,
2017-04-30,,,9.14,
2017-05-31,,,9.84,
2017-06-30,,207800.03,8.98,
2017-07-31,,,9.94,
2017-08-31,,,9.52,
2017-09-30,,208908.83,9.55,
2017-10-31,,,8.74,
2017-11-30,,,8.76,
2017-12-31,4.75,209375.62,8.91,4.09
2018-01-31,,,12.14,
2018-02-28,,,11.19,
2018-03-31,,210842.5,9.77,
2018-04-30,,,9.73,
2018-05-31,,,9.98,
2018-06-30,,212888.49,9.31,
2018-07-31,,,10.04,
2018-08-31,,,9.43,
2018-09-30,,215015.7,9.67,
2018-10-31,,,9.36,
2018-11-30,,,8.99,
2018-12-31,4.25,215261.31,9.99,3.18
2019-01-31,,,13.08,
2019-02-28,,,12.09,
2019-03-31,,217771.73,11.18,
2019-04-30,,,10.66,
2019-05-31,,,10.95,
2019-06-30,,219804.53,9.72,
2019-07-31,,,11.28,
2019-08-31,,,11.2,
2019-09-30,,221790.73,10.8,
2019-10-31,,,10.12,
2019-11-30,,,9.62,
2019-12-31,4.25,221857.01,9.95,3.8
2020-01-31,,,13.46,
2020-02-29,,,12.81,
2020-03-31,,218598.48,13.18,
2020-04-30,,,20.49,
2020-05-31,,,21.97,
2020-06-30,,183029.87,20.36,
2020-07-31,,,20.91,
2020-08-31,,,17.44,
2020-09-30,,201866.37,16.29,
2020-10-31,,,15.28,
2020-11-30,,,13.91,
2020-12-31,1.75,214405.28,13.91,1.61
2021-01-31,,,17.56,
2021-02-28,,,15.59,
2021-03-31,,221834.21,14.73,
2021-04-30,,,15.49,
2021-05-31,,,15.2,
2021-06-30,,216998.73,14.65,
2021-07-31,,,13.06,
2021-08-31,,,12.86,
2021-09-30,,228967.03,11.96,
2021-10-31,,,12.0,
2021-11-30,,,11.53,
2021-12-31,,238443.03,11.1,5.62
2022-01-31,,,14.65,
2022-02-28,,,12.91,
2022-03-31,,239636.01,12.12,
2022-04-30,,,11.17,
2022-05-31,,,10.65,
2022-06-30,,243443.9,11.26,
2022-07-31,,,10.99,
2022-08-31,,,10.63,
2022-09-30,,245954.59,10.75,
2022-10-31,,,9.72,
2022-11-30,,,9.5,
2022-12-31,,243620.5,10.27,13.12
2023-01-31,,,13.7,
2023-02-28,,,11.35,
2023-03-31,,245763.31,10.03,
2023-04-30,,,10.72,
2023-05-31,,,10.48,
2023-06-30,,244526.22,9.34,
2023-07-31,,,9.57,
2023-08-31,,,9.28,
2023-09-30,,244283.43,9.25,
2023-10-31,,,9.23,
2023-11-30,,,9.01,
2023-12-31,13.0,245011.03,10.01,9.28
2024-01-31,,,12.66,
2024-02-29,,,11.67,
2024-03-31,,247678.63,11.29,
2024-04-30,,,10.65,
2024-06-30,,248630.03,10.27,
2024-07-31,,,9.92,
2024-08-31,,,9.66,
2024-09-30,,249404.53,9.13,
2024-10-31,,,9.13,
2024-11-30,,,8.17,
2024-12-31,9.5,250952.43,9.13,5.2
2025-01-31,,,11.64,
2025-02-28,,,10.33,
